date,cluster,cluster_description,daily_return
2001-10-03 00:00:00+05:30,2,Sideways/Low Volatility,-0.011482254697286
2001-10-04 00:00:00+05:30,2,Sideways/Low Volatility,0.0133385205357638
2001-10-05 00:00:00+05:30,0,Uptrend/Profitable,0.0032358909669281
2001-10-08 00:00:00+05:30,0,Uptrend/Profitable,-0.013831183030833
2001-10-09 00:00:00+05:30,0,Uptrend/Profitable,0.0119186207661179
2001-10-10 00:00:00+05:30,0,Uptrend/Profitable,0.0302947299222087
2001-10-11 00:00:00+05:30,0,Uptrend/Profitable,0.0154729621949274
2001-10-12 00:00:00+05:30,0,Uptrend/Profitable,0.0057597654204628
2001-10-15 00:00:00+05:30,0,Uptrend/Profitable,0.0031236984589755
2001-10-16 00:00:00+05:30,0,Uptrend/Profitable,0.0081482250363296
2001-10-17 00:00:00+05:30,0,Uptrend/Profitable,0.0154440154440154
2001-10-18 00:00:00+05:30,0,Uptrend/Profitable,-0.0143979721166033
2001-10-19 00:00:00+05:30,0,Uptrend/Profitable,0.0047322668587006
2001-10-22 00:00:00+05:30,0,Uptrend/Profitable,-0.000255977064455
2001-10-23 00:00:00+05:30,0,Uptrend/Profitable,0.0172060630888981
2001-10-24 00:00:00+05:30,0,Uptrend/Profitable,-0.0020136931131695
2001-10-25 00:00:00+05:30,0,Uptrend/Profitable,-0.0080710250201775
2001-10-29 00:00:00+05:30,0,Uptrend/Profitable,-0.0058482506102522
2001-10-30 00:00:00+05:30,0,Uptrend/Profitable,-0.0146810578546217
2001-10-31 00:00:00+05:30,0,Uptrend/Profitable,0.0091371612501296
2001-11-01 00:00:00+05:30,0,Uptrend/Profitable,0.0227389649140858
2001-11-02 00:00:00+05:30,0,Uptrend/Profitable,0.0036217303822938
2001-11-05 00:00:00+05:30,0,Uptrend/Profitable,-0.0065657578187651
2001-11-06 00:00:00+05:30,0,Uptrend/Profitable,0.0109479844609252
2001-11-07 00:00:00+05:30,0,Uptrend/Profitable,-0.0143726918854176
2001-11-08 00:00:00+05:30,0,Uptrend/Profitable,0.0103291139240506
2001-11-09 00:00:00+05:30,0,Uptrend/Profitable,0.0063646386689384
2001-11-12 00:00:00+05:30,0,Uptrend/Profitable,0.0068223694039142
2001-11-13 00:00:00+05:30,0,Uptrend/Profitable,-0.0054406964091403
2001-11-14 00:00:00+05:30,0,Uptrend/Profitable,0.0103441416351701
2001-11-15 00:00:00+05:30,0,Uptrend/Profitable,0.019590470565072
2001-11-19 00:00:00+05:30,0,Uptrend/Profitable,0.0313314666409192
2001-11-20 00:00:00+05:30,0,Uptrend/Profitable,-0.0168047558863455
2001-11-21 00:00:00+05:30,0,Uptrend/Profitable,0.0058465054275373
2001-11-22 00:00:00+05:30,0,Uptrend/Profitable,0.0057841225363046
2001-11-23 00:00:00+05:30,0,Uptrend/Profitable,-0.0032472116334886
2001-11-26 00:00:00+05:30,0,Uptrend/Profitable,0.0203871576959395
2001-11-27 00:00:00+05:30,0,Uptrend/Profitable,-0.0042014084898064
2001-11-28 00:00:00+05:30,0,Uptrend/Profitable,-0.0048789554388736
