open,high,low,close,volume,trend_code,year,month,day,hour,dayofweek,Actual_Label,Predicted_Label
6098.7,6106.25,5975.55,5985.95,0,0,2013,5,31,0,4,Downtrend,Downtrend
11514.85,11542.65,11393.85,11476.95,0,0,2018,9,5,0,2,Downtrend,Downtrend
5278.6,5310.85,5238.3,5257.95,0,0,2011,11,1,0,1,Downtrend,Downtrend
2813.4,2835.7,2694.5,2799.55,0,0,2008,11,17,0,0,Downtrend,Downtrend
24664.95,24886.2,24567.65,24854.05,0,1,2024,10,18,0,4,Sideways,Sideways
19976.55,20104.65,19956.3,20096.6,0,2,2023,11,29,0,2,Uptrend,Uptrend
2833.8,2861.25,2820.65,2829.1,0,0,2006,1,17,0,1,Downtrend,Downtrend
1393.15,1396.35,1380.65,1393.35,0,2,2001,2,14,0,2,Uptrend,Uptrend
5588.55,5591.7,5521.5,5546.8,0,0,2011,7,27,0,2,Downtrend,Downtrend
5934.0,5949.85,5888.65,5907.4,0,1,2012,12,7,0,4,Sideways,Sideways
3525.6,3555.5,3445.9,3454.8,0,0,2006,4,7,0,4,Downtrend,Downtrend
4830.0,4970.8,4796.35,4942.0,0,2,2008,3,28,0,4,Uptrend,Uptrend
4193.6,4310.0,4193.6,4302.6,0,2,2007,8,27,0,0,Uptrend,Uptrend
1517.1,1559.75,1515.55,1555.9,0,2,2003,10,31,0,4,Uptrend,Uptrend
2002.75,2027.8,2002.75,2024.9,0,0,2005,4,12,0,1,Downtrend,Downtrend
3859.5,3921.7,3856.75,3918.25,0,2,2006,11,21,0,1,Uptrend,Uptrend
16475.35,16653.45,16438.75,16641.8,0,2,2022,7,27,0,2,Uptrend,Uptrend
972.05,974.5,902.7,919.7,0,0,2001,9,14,0,4,Downtrend,Downtrend
5540.8,5546.6,5513.35,5530.65,0,1,2010,8,20,0,4,Sideways,Sideways
6168.35,6183.25,6146.05,6154.7,0,0,2013,12,16,0,0,Downtrend,Downtrend
1992.5,1992.75,1978.9,1988.3,0,0,2005,5,13,0,4,Downtrend,Downtrend
1031.25,1051.75,1031.25,1049.7,0,2,2002,11,28,0,3,Uptrend,Uptrend
6052.85,6069.8,6021.15,6054.3,0,1,2013,1,23,0,2,Sideways,Sideways
